ID,NC_t1,DM_t1,NS_t1,ADD_t1,SUB_t1,CA_t1,NC_t2,DM_t2,NS_t2,ADD_t2,SUB_t2,CA_t2,RMAT,TIME
255,1134.5,3163.125,16,44,29,24,839.5,3540.29268292683,15,41,20,10,27,28
256,680.244897959184,1567.26315789474,26,70,64,34,-99,-99,-99,-99,-99,-99,33,-99
257,910.541666666667,1546.8,11,-99,3,3,-99,-99,-99,-99,-99,-99,29,41
258,660.081632653061,1276.15384615385,21,42,44,29,787.5,1471.75,20,41,43,29,42,41
259,1062.43137254902,2552,19,42,41,31,-99,-99,-99,-99,-99,-99,-99,-99
260,793,1851.6,18,38,36,30,1046.76,1709.4,14,50,48,35,47,12
261,706,2618.7,20,43,45,24,701.469387755102,2255.4,20,47,46,29,33,42
263,962.509803921569,1758,6,33,10,10,1257.95744680851,1191.55555555556,4,27,10,4,24,14
264,1527.10204081633,2352,10,-99,17,18,961.257142857143,-99,-99,-99,3,-99,28,42
265,607.686274509804,1515.07317073171,23,51,48,33,674.869565217391,1029.525,20,54,50,31,42,12
266,1021.64705882353,1966.82926829268,17,41,43,30,1118.60465116279,2809.8,5,17,9,17,40,14
267,1087.75510204082,2597.53846153846,12,28,24,11,-99,-99,-99,-99,-99,-99,25,-99
269,731.64,1041.80487804878,21,62,54,34,-99,-99,-99,-99,-99,-99,36,-99
270,981,2331.51219512195,13,44,46,23,767.265306122449,2459.69230769231,17,46,43,27,31,14
271,625.106382978723,1459.78378378378,21,65,49,29,772,1503.80487804878,25,66,51,35,53,14
272,627.64,1275.89189189189,18,53,38,30,694.040816326531,1205.70731707317,18,53,45,30,29,14
273,891.28,1941.21951219512,14,26,29,22,791.96,2034.30769230769,19,50,43,27,31,14
274,667.843137254902,1715.36842105263,20,46,42,31,-99,-99,-99,-99,-99,-99,41,-99
275,739.21568627451,1442.175,22,61,52,30,-99,-99,-99,-99,-99,-99,-99,-99
276,758.16,2303.53846153846,17,46,45,22,-99,-99,-99,-99,-99,-99,33,-99
277,565.76,1316,20,40,43,34,-99,-99,-99,-99,-99,-99,36,-99
278,897,1408.44827586207,8,31,4,5,-99,-99,-99,-99,4,-99,30,42
280,815.686274509804,2124,20,47,47,21,1056.3137254902,1867.95,20,-99,-99,-99,32,12
281,872.04,1738.02631578947,17,45,17,14,-99,-99,-99,-99,-99,-99,34,-99
282,803,1729.17073170732,22,41,39,28,725,2562,21,38,39,26,28,41
283,1056,1908.43902439024,23,54,52,29,799.372549019608,1578.5,20,54,52,32,43,14
284,1250.6,1935.07317073171,19,26,46,30,-99,-99,-99,-99,-99,-99,-99,-99
285,614.823529411765,1047.78947368421,20,50,39,-99,-99,-99,-99,-99,-99,-99,50,-99
286,651.130434782609,1371.41666666667,17,52,43,30,696.28,2398.42105263158,17,45,39,25,35,41
287,751.5,1987.65,13,41,31,2,-99,-99,-99,-99,-99,-99,-99,-99
289,799.24,1123.5,22,64,53,39,641.68,1315,21,65,52,34,41,14
290,666.5,1378.125,27,61,63,34,-99,-99,-99,-99,-99,-99,52,-99
292,748.392156862745,1346.91666666667,23,69,44,14,701.434782608696,-99,-99,-99,-99,-99,40,12
