NC,DM,NS,ADD,SUB,CA,NP,SN,AF,BC,AS,PF,Label
686.612244897959,1398.6,15,39,35,21,1042.6061224489795,-711.9877551020409,27.5,16.0,4,0.026376211886618504,1
959.450980392157,1569.0,22,60,49,39,1264.2254901960785,-609.549019607843,42.5,15.5,11,0.03361742057060434,0
1349.96078431373,1520.4,15,40,28,13,1435.180392156865,-170.43921568627002,24.0,21.0,12,0.016722636493055432,0
835.5,1492.5,27,58,60,40,1164.0,-657.0,46.25,19.0,-2,0.039733676975945015,1
821.803921568628,1155.51219512195,22,46,50,35,988.658058345289,-333.7082735533221,38.25,13.0,-4,0.038688806182411335,0
1212.12,2315.775,14,33,33,13,1763.9475,-1103.6550000000002,23.25,20.0,0,0.013180664390521827,1
540.0,1276.8,20,53,50,33,908.4,-736.8,39.0,18.5,3,0.042932628797886396,1
632.5,1866.23684210526,19,46,47,31,1249.3684210526299,-1233.73684210526,35.75,15.5,-1,0.02861445783132534,1
1158.04,1725.23076923077,11,35,30,15,1441.635384615385,-567.19076923077,22.75,17.5,5,0.01578068923861042,1
1124.62745098039,1983.21951219512,16,44,33,14,1553.9234815877548,-858.5920612147299,26.75,24.5,11,0.017214489849054607,1
923.764705882353,1515.675,13,31,18,12,1219.7198529411764,-591.9102941176469,18.5,12.5,13,0.01516741730110398,1
757.56862745098,2303.36842105263,15,34,31,17,1530.4685242518049,-1545.79979360165,24.25,15.5,3,0.015844821122247527,0
640.5,1810.54054054054,15,52,37,25,1225.52027027027,-1170.04054054054,32.25,19.5,15,0.026315354206983253,1
725.960784313726,1106.0,22,56,52,34,915.980392156863,-380.039215686274,41.0,20.0,4,0.04476078347425879,1
677.04,1702.65789473684,13,35,33,21,1189.8489473684199,-1025.61789473684,25.5,13.0,2,0.021431291809265503,1
1082.0,1927.0,19,43,47,30,1504.5,-845.0,34.75,15.0,-4,0.023097374543037553,1
643.914893617021,1355.35135135135,17,44,42,21,999.6331224841856,-711.4364577343291,31.0,22.0,2,0.031011377377094092,1
854.127659574468,3091.42105263158,16,32,26,15,1972.774356103024,-2237.293393057112,22.25,14.0,6,0.011278532656898568,1
953.0,1872.675,19,42,38,22,1412.8375,-919.675,30.25,18.0,4,0.02141081334548382,1
809.5,1672.26315789474,20,54,41,30,1240.8815789473701,-862.7631578947401,36.25,17.5,13,0.029213101890633742,0
1150.24,1559.25,4,32,30,4,1354.745,-409.01,17.5,27.0,2,0.012917560131242413,1
931.921568627451,1562.0,23,58,53,34,1246.9607843137255,-630.078431372549,42.0,21.5,5,0.03368189323059989,0
592.392156862745,1184.61538461538,20,58,59,34,888.5037707390625,-592.223227752635,42.75,24.5,-1,0.04811459602972794,0
682.117647058824,1924.65,13,40,32,23,1303.383823529412,-1242.5323529411762,27.0,13.0,8,0.020715310035755344,0
739.96,1172.325,16,47,44,26,956.1425,-432.365,33.25,19.5,3,0.034775151193467496,0
779.0,1226.5,16,51,44,33,1002.75,-447.5,36.0,14.5,7,0.03590127150336574,0
654.775510204082,1316.7,14,50,43,31,985.7377551020411,-661.924489795918,34.5,15.5,7,0.03499916668650745,0
991.058823529412,3234.0,14,37,32,24,2112.529411764706,-2242.941176470588,26.75,10.5,5,0.012662545596302175,0
687.96,1195.0,23,58,51,31,941.48,-507.03999999999996,40.75,23.5,7,0.04328291625950631,0
654.588235294118,1228.5,22,58,47,36,941.544117647059,-573.911764705882,40.75,16.5,11,0.043279968762202255,1
1029.29411764706,2998.8,12,45,23,10,2014.04705882353,-1969.5058823529403,22.5,24.0,22,0.011171536385620988,1
870.745098039216,2054.76923076923,14,38,36,19,1462.757164404223,-1184.0241327300141,26.75,18.0,2,0.018287382657185755,1
886.039215686275,1864.8,12,36,35,22,1375.4196078431376,-978.7607843137249,26.25,13.5,1,0.019085084908134983,0
761.647058823529,1256.92682926829,20,47,37,26,1009.2869440459095,-495.27977044476097,32.5,16.0,10,0.032200951564594564,0
776.941176470588,1430.0487804878,19,37,38,23,1103.494978479194,-653.1076040172121,29.25,14.5,-1,0.02650669062428497,0
813.511111111111,1294.26315789474,19,65,71,34,1053.8871345029256,-480.7520467836291,47.25,34.0,-6,0.04483402297370851,0
889.5,2228.56097560976,13,33,31,14,1559.03048780488,-1339.0609756097601,22.75,18.0,2,0.014592402251242741,0
997.176470588235,3266.78048780488,13,24,28,14,2131.9784791965576,-2269.604017216645,19.75,12.0,-4,0.009263695760870366,1
739.916666666667,1281.53846153846,14,44,39,26,1010.7275641025635,-541.6217948717931,30.75,15.5,5,0.030423628574237287,0
1053.0,1370.92307692308,17,51,50,18,1211.96153846154,-317.9230769230801,34.0,32.5,1,0.028053695534892543,0
692.64,1192.57894736842,8,45,39,4,942.6094736842099,-499.9389473684199,24.0,38.0,6,0.02546123359676778,0
923.8823529411766,2194.21621621622,8,21,22,9,1559.0492845786982,-1270.3338632750433,15.0,12.5,-1,0.0096212481211288,1
1069.12,3261.0,7,28,24,11,2165.06,-2191.88,17.5,15.0,4,0.008082916870664092,0
999.5,2026.5,12,27,25,8,1513.0,-1027.0,18.0,18.0,2,0.011896893588896233,1
805.5,1807.65789473684,15,29,33,27,1306.57894736842,-1002.15789473684,26.0,4.0,-4,0.019899295065458227,0
1078.0,2446.76923076923,17,33,35,21,1762.384615384615,-1368.76923076923,26.5,13.0,-2,0.015036445375583784,0
2130.375,4784.4,4,2,11,5,3457.3875,-2654.0249999999996,5.5,1.5,-9,0.0015907965190479806,1
