NC,DM,NS,ADD,SUB,CA,Label,NP,SN,AF,BC,AS,PF
625.106382978723,1459.78378378378,21.0,65.0,49.0,29.0,0,1042.4450833812516,-834.6774008050571,41.0,28.0,16.0,0.039330609020644
1594.5,3403.13513513514,9.0,13.0,13.0,4.0,1,2498.81756756757,-1808.63513513514,9.75,9.0,0.0,0.0039018454674492
940.5,2258.025,19.0,52.0,47.0,30.0,0,1599.2625,-1317.525,37.0,19.5,5.0,0.0231356640951544
1638.72222222222,3754.8,6.0,26.0,22.0,19.0,1,2696.76111111111,-2116.0777777777803,18.25,5.0,4.0,0.0067673773271203
1248.0,1768.30769230769,11.0,30.0,23.0,18.0,1,1508.153846153845,-520.3076923076901,20.5,8.5,7.0,0.0135927777210967
707.0,1237.46341463415,19.0,50.0,50.0,29.0,1,972.231707317075,-530.46341463415,37.0,21.0,0.0,0.0380567715715273
841.957446808511,1622.25,15.0,41.0,27.0,22.0,0,1232.1037234042556,-780.292553191489,26.25,12.0,14.0,0.0213050244888887
1428.0,2342.5,16.0,32.0,30.0,26.0,1,1885.25,-914.5,26.0,5.0,2.0,0.0137912743667875
930.8,2380.73684210526,12.0,31.0,27.0,16.0,1,1655.76842105263,-1449.9368421052602,21.5,13.0,4.0,0.0129849076275525
931.0,1873.5,20.0,46.0,39.0,27.0,0,1402.25,-942.5,33.0,15.5,7.0,0.0235336067034954
1150.5,2817.07317073171,12.0,33.0,24.0,14.0,0,1983.786585365855,-1666.57317073171,20.75,14.5,9.0,0.0104597944925425
692.64,1192.57894736842,8.0,45.0,39.0,4.0,0,942.60947368421,-499.9389473684199,24.0,38.0,6.0,0.0254612335967407
1452.0,4025.026315789472,14.0,18.0,17.0,16.0,0,2738.513157894736,-2573.0263157894724,16.25,1.5,1.0,0.0059338769116911
1012.47058823529,1996.10526315789,18.0,41.0,30.0,26.0,0,1504.28792569659,-983.6346749226,28.75,9.5,11.0,0.019112032682618
1199.56862745098,3297.0,8.0,18.0,14.0,9.0,1,2248.28431372549,-2097.43137254902,12.25,7.0,4.0,0.0054485991496759
1080.0,2508.0,13.0,32.0,28.0,15.0,1,1794.0,-1428.0,22.0,15.0,4.0,0.0122630992196141
981.0,2331.51219512195,13.0,44.0,46.0,23.0,0,1656.256097560975,-1350.5121951219498,31.5,22.0,-2.0,0.0190187979059327
793.0,1851.6,18.0,38.0,36.0,30.0,0,1322.3,-1058.6,30.5,7.0,2.0,0.0230658700748521
698.36,2509.5,9.0,34.0,32.0,17.0,0,1603.93,-1811.14,23.0,16.0,2.0,0.0143397779204738
836.078431372549,1316.92105263158,21.0,62.0,49.0,29.0,0,1076.4997420020643,-480.8426212590312,40.25,26.5,13.0,0.037389697767234
897.0,1408.44827586207,8.0,31.0,4.0,5.0,0,1152.7241379310349,-511.44827586207,12.0,12.5,27.0,0.0104101229471326
882.980392156863,2200.8,14.0,23.0,34.0,12.0,0,1541.8901960784317,-1317.8196078431372,20.75,16.5,-11.0,0.0134575082277331
624.0,1154.46153846154,20.0,49.0,35.0,21.0,0,889.23076923077,-530.4615384615399,31.25,21.0,14.0,0.0351427335639742
614.823529411765,1047.78947368421,20.0,50.0,39.0,21.0,0,831.3065015479874,-432.965944272445,32.5,23.5,11.0,0.039095086997927
992.078431372549,1631.0,11.0,31.0,36.0,13.0,1,1311.5392156862745,-638.921568627451,22.75,20.5,-5.0,0.0173460310815628
1023.0,1813.875,18.0,39.0,42.0,26.0,0,1418.4375,-790.875,31.25,14.5,-3.0,0.0220312844238663
970.0,2049.97058823529,16.0,51.0,43.0,30.0,0,1509.985294117645,-1079.97058823529,35.0,17.0,8.0,0.0231790336874962
752.5,1684.09756097561,7.0,37.0,32.0,21.0,0,1218.2987804878048,-931.59756097561,24.25,13.5,5.0,0.0199048052812385
734.117647058824,1628.55,21.0,44.0,47.0,33.0,0,1181.333823529412,-894.432352941176,36.25,12.5,-3.0,0.0306856531811363
894.196078431373,2064.41666666667,15.0,52.0,42.0,14.0,0,1479.3063725490215,-1170.220588235297,30.75,33.0,10.0,0.0207867691038153
1739.5035714285718,3539.0,10.0,14.0,31.0,20.0,0,2639.2517857142857,-1799.4964285714282,18.75,2.5,-17.0,0.0071042861850023
1565.09803921569,2482.09756097561,14.0,23.0,28.0,15.0,0,2023.5978000956504,-916.99952175992,20.0,10.5,-5.0,0.00988338690576
750.285714285714,1572.66666666667,17.0,46.0,41.0,26.0,0,1161.476190476192,-822.3809523809559,32.5,17.5,5.0,0.0279816325693662
686.612244897959,1398.6,15.0,40.0,35.0,21.0,1,1042.6061224489797,-711.9877551020409,27.75,16.5,5.0,0.0266159956310167
1639.52941176471,4025.026315789472,9.0,40.0,16.0,2.0,1,2832.277863777091,-2385.4969040247624,16.75,26.0,24.0,0.0059139677692698
846.274509803922,2768.59459459459,17.0,37.0,30.0,21.0,0,1807.434552199256,-1922.320084790668,26.25,12.5,7.0,0.0145233474529104
713.96,1065.75,20.0,50.0,40.0,31.0,1,889.855,-351.79,35.25,14.0,10.0,0.0396131954081961
651.130434782609,1371.41666666667,17.0,52.0,43.0,30.0,0,1011.2735507246394,-720.286231884061,35.5,17.5,9.0,0.0351042504518455
702.509803921569,1377.075,18.0,40.0,30.0,26.0,0,1039.7924019607844,-674.5651960784311,28.5,9.0,10.0,0.0274093174235826
917.959183673469,1772.4,14.0,32.0,25.0,14.0,0,1345.1795918367343,-854.440816326531,21.25,14.5,7.0,0.0157971471831274
533.254901960784,1212.225,23.0,54.0,55.0,37.0,1,872.739950980392,-678.9700980392159,42.25,17.5,-1.0,0.0484107550622497
1021.64705882353,1966.82926829268,17.0,41.0,43.0,30.0,0,1494.238163558105,-945.18220946915,32.75,12.0,-2.0,0.0219175234568987
825.882352941176,3000.72972972973,17.0,35.0,37.0,17.0,0,1913.306041335453,-2174.847376788554,26.5,19.0,-2.0,0.0138503717792526
1134.5,3163.125,16.0,44.0,29.0,24.0,0,2148.8125,-2028.625,28.25,12.5,15.0,0.013146796195567
1165.32,3084.9,6.0,18.0,26.0,8.0,1,2125.11,-1919.58,14.5,14.0,-8.0,0.0068231762120516
1680.97959183673,3197.12195121951,9.0,14.0,4.0,21.0,1,2439.05077152812,-1516.14235938278,12.0,-12.0,10.0,0.004919946784247
975.0,1730.84210526316,13.0,24.0,31.0,20.0,0,1352.92105263158,-755.84210526316,22.0,7.5,-7.0,0.0162611114352839
819.0,1920.45,21.0,50.0,47.0,31.0,1,1369.725,-1101.45,37.25,17.5,3.0,0.0271952399204021
680.244897959184,1567.26315789474,26.0,70.0,64.0,34.0,0,1123.754027926962,-887.0182599355561,48.5,33.0,6.0,0.043158910931271
953.0,1872.675,19.0,42.0,38.0,22.0,1,1412.8375,-919.675,30.25,18.0,4.0,0.0214108133454686
1327.52941176471,2745.75,18.0,35.0,35.0,18.0,0,2036.639705882355,-1418.22058823529,26.5,17.0,0.0,0.0130116288725236
1349.96078431373,1520.4,15.0,40.0,28.0,13.0,0,1435.180392156865,-170.43921568627002,24.0,21.0,12.0,0.0167226364930437
650.0,2069.26829268293,21.0,52.0,51.0,37.0,0,1359.634146341465,-1419.2682926829302,40.25,14.5,1.0,0.0296035518880399
847.08,1811.38461538462,11.0,49.0,44.0,27.0,0,1329.23230769231,-964.30461538462,32.75,19.5,5.0,0.0246382816686368
1112.39215686275,1901.35135135135,11.0,28.0,26.0,14.0,0,1506.87175410705,-788.9591944886001,19.75,13.0,2.0,0.0131066230063423
1004.0,3110.0,19.0,48.0,48.0,35.0,0,2057.0,-2106.0,37.5,13.0,0.0,0.0182304326689264
798.2,1751.5,21.0,64.0,68.5,38.0,0,1274.85,-953.3,47.875,28.25,-4.5,0.037553437659303
644.163265306122,1290.45,20.0,47.0,6.0,21.0,0,967.306632653061,-646.2867346938781,23.5,5.5,41.0,0.0242942612060061
1450.69387755102,2711.0,5.0,23.0,29.0,11.0,1,2080.84693877551,-1260.30612244898,17.0,15.0,-6.0,0.0081697503469407
1045.09803921569,1638.0,8.0,10.0,35.0,21.0,0,1341.549019607845,-592.90196078431,18.5,1.5,-25.0,0.0137900290854776
700.916666666667,1542.15384615385,16.0,27.0,25.0,19.0,1,1121.5352564102586,-841.2371794871831,21.75,7.0,2.0,0.0193930595366182
805.5,1807.65789473684,15.0,29.0,33.0,27.0,0,1306.57894736842,-1002.15789473684,26.0,4.0,-4.0,0.0198992950654429
1739.5035714285718,3374.53846153846,15.0,5.0,6.0,5.0,1,2557.021016483516,-1635.0348901098882,7.75,0.5,-1.0,0.0030308706694382
955.24,1787.21052631579,15.0,49.0,40.0,27.0,0,1371.225263157895,-831.97052631579,32.75,17.5,9.0,0.023883748994351
